Type;FSV-30;
Version;1.71 SP3;
Date;06.Aug 25;
Mode;ANALYZER;
Center Freq;11000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;22000000000.000000;Hz
x-Axis;LIN;
Start;0.000000;Hz
Stop;22000000000.000000;Hz
Ref Level;-9.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;5000.000000;Hz
SWT;1.440000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;6001;
0;-27.628173828125;-45.794437408447266
3666666.6666666665;-46.02532958984375;-78.326988220214844
7333333.333333333;-77.00885009765625;-77.00885009765625
11000000;-76.239830017089844;-76.239830017089844
14666666.666666666;-74.943290710449219;-74.943290710449219
18333333.333333332;-73.939369201660156;-73.939369201660156
22000000;-76.156867980957031;-76.156867980957031
25666666.666666668;-76.066566467285156;-76.066566467285156
29333333.333333336;-75.620513916015625;-75.620513916015625
33000000.000000004;-75.341659545898438;-75.341659545898438
36666666.666666672;-75.222282409667969;-75.222282409667969
40333333.333333336;-74.9161376953125;-74.9161376953125
44000000;-74.585861206054687;-74.585861206054687
47666666.666666664;-74.666961669921875;-74.666961669921875
51333333.333333328;-74.201118469238281;-74.201118469238281
54999999.999999993;-74.863548278808594;-74.863548278808594
58666666.666666657;-74.666030883789062;-74.666030883789062
62333333.333333321;-74.817283630371094;-74.817283630371094
65999999.999999985;-74.570159912109375;-74.570159912109375
69666666.666666657;-74.364715576171875;-74.364715576171875
73333333.333333328;-74.831794738769531;-74.831794738769531
77000000;-74.480880737304688;-74.480880737304688
80666666.666666672;-74.535820007324219;-74.535820007324219
84333333.333333343;-74.492431640625;-74.492431640625
88000000.000000015;-74.900032043457031;-74.900032043457031
91666666.666666687;-74.604232788085937;-74.604232788085937
95333333.333333358;-74.973457336425781;-74.973457336425781
99000000.00000003;-74.97772216796875;-74.97772216796875
102666666.6666667;-75.044364929199219;-75.044364929199219
106333333.33333337;-75.135826110839844;-75.135826110839844
110000000.00000004;-75.16217041015625;-75.16217041015625
113666666.66666672;-75.249679565429687;-75.249679565429687
117333333.33333339;-75.377937316894531;-75.377937316894531
121000000.00000006;-75.281410217285156;-75.281410217285156
124666666.66666673;-75.157356262207031;-75.157356262207031
128333333.3333334;-75.453468322753906;-75.453468322753906
