Type;FSV-30;
Version;1.71 SP3;
Date;06.Aug 25;
Mode;ANALYZER;
Center Freq;11000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;22000000000.000000;Hz
x-Axis;LIN;
Start;0.000000;Hz
Stop;22000000000.000000;Hz
Ref Level;-9.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;5000.000000;Hz
SWT;1.440000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;6001;
0;-28.291923522949219;-46.432044982910156
3666666.6666666665;-46.663063049316406;-78.016365051269531
7333333.333333333;-77.000389099121094;-77.000389099121094
11000000;-75.9427490234375;-75.9427490234375
14666666.666666666;-74.667976379394531;-74.667976379394531
18333333.333333332;-73.944969177246094;-73.944969177246094
22000000;-76.095176696777344;-76.095176696777344
25666666.666666668;-76.141136169433594;-76.141136169433594
29333333.333333336;-75.993240356445313;-75.993240356445313
33000000.000000004;-75.38543701171875;-75.38543701171875
36666666.666666672;-75.415336608886719;-75.415336608886719
40333333.333333336;-74.920486450195313;-74.920486450195313
44000000;-75.125694274902344;-75.125694274902344
47666666.666666664;-75.007835388183594;-75.007835388183594
51333333.333333328;-74.530853271484375;-74.530853271484375
54999999.999999993;-74.832107543945313;-74.832107543945313
58666666.666666657;-75.079414367675781;-75.079414367675781
62333333.333333321;-74.62371826171875;-74.62371826171875
65999999.999999985;-74.628028869628906;-74.628028869628906
69666666.666666657;-74.610809326171875;-74.610809326171875
73333333.333333328;-74.65948486328125;-74.65948486328125
77000000;-74.420501708984375;-74.420501708984375
80666666.666666672;-74.746368408203125;-74.746368408203125
84333333.333333343;-74.544960021972656;-74.544960021972656
88000000.000000015;-74.971168518066406;-74.971168518066406
91666666.666666687;-74.642250061035156;-74.642250061035156
95333333.333333358;-74.698387145996094;-74.698387145996094
99000000.00000003;-74.795387268066406;-74.795387268066406
102666666.6666667;-74.755905151367188;-74.755905151367188
106333333.33333337;-74.996170043945313;-74.996170043945313
110000000.00000004;-74.809295654296875;-74.809295654296875
113666666.66666672;-75.162673950195313;-75.162673950195313
117333333.33333339;-75.198066711425781;-75.198066711425781
121000000.00000006;-75.298370361328125;-75.298370361328125
124666666.66666673;-75.041755676269531;-75.041755676269531
128333333.3333334;-75.595512390136719;-75.595512390136719
