SIS V(mV)	-0.1
SIS C(uA)	25.2
SIS Mag (mA)	-0.1
LO PA Vd (V)	0.00
LO PA Id (mA)	0.00
IF(GHz)	Hot-Power(dBm)	Cold-Power(dBm)	Y-factor	Tsys
0.00	-26.67	-26.32	0.92	-2934.52
0.00	-45.06	-44.72	0.92	-2938.44
0.01	-77.33	-77.12	0.95	-4738.96
0.01	-75.83	-75.89	1.01	15309.50
0.01	-75.11	-75.27	1.04	5809.03
0.02	-74.21	-73.73	0.89	-2159.46
0.02	-76.24	-76.34	1.02	8915.44
0.03	-75.90	-75.21	0.85	-1576.53
0.03	-75.84	-75.71	0.97	-7095.92
0.03	-74.87	-75.62	1.19	1078.73
0.04	-74.91	-74.91	1.00	-465347.27
0.04	-75.18	-75.06	0.97	-7831.79
0.04	-74.96	-74.97	1.00	104221.56
0.05	-75.01	-74.96	0.99	-19324.45
0.05	-74.91	-74.81	0.98	-9710.47
0.06	-74.76	-74.50	0.94	-3782.39
0.06	-74.27	-74.81	1.13	1566.15
0.06	-74.69	-74.66	0.99	-29164.61
0.07	-74.50	-74.58	1.02	10734.87
0.07	-74.79	-74.26	0.89	-1985.08
0.07	-74.48	-74.61	1.03	7220.36
0.08	-74.41	-75.03	1.15	1362.12
0.08	-74.74	-74.59	0.96	-6276.01
0.08	-74.77	-74.59	0.96	-5712.83
0.09	-74.74	-74.70	0.99	-22977.03
0.09	-74.69	-74.82	1.03	6932.39
0.10	-74.85	-74.71	0.97	-7011.96
0.10	-74.72	-74.95	1.05	3938.84
0.10	-74.78	-74.80	1.00	60271.00
0.11	-75.03	-74.67	0.92	-2805.19
0.11	-75.09	-75.02	0.98	-14145.27
0.11	-75.12	-75.10	1.00	-56595.28
0.12	-74.88	-74.85	0.99	-25680.16
0.12	-75.02	-75.21	1.04	4958.00
0.12	-75.03	-75.15	1.03	7432.16
0.13	-75.08	-75.55	1.11	1869.21
0.13	-75.52	-75.24	0.94	-3608.07
0.14	-75.09	-75.48	1.09	2291.24
0.14	-75.16	-75.24	1.02	12882.60
0.14	-75.07	-75.52	1.11	1915.45
0.15	-75.35	-75.37	1.01	39364.12
0.15	-74.93	-75.49	1.14	1499.83
0.15	-75.24	-75.13	0.98	-9269.87
0.16	-74.81	-75.08	1.06	3385.40
0.16	-75.07	-75.12	1.01	20656.90
0.17	-74.95	-74.91	0.99	-22118.99
0.17	-74.79	-75.10	1.08	2825.00
0.17	-74.82	-75.30	1.12	1775.93
0.18	-75.38	-75.24	0.97	-6927.83
0.18	-75.21	-75.10	0.98	-8887.63
0.18	-75.33	-75.22	0.97	-8460.36
0.19	-75.20	-75.23	1.01	35749.97
0.19	-74.72	-75.16	1.11	1963.43
0.19	-75.13	-75.04	0.98	-11472.68
0.20	-75.32	-75.53	1.05	4307.57
0.20	-75.27	-75.09	0.96	-5471.84
0.21	-75.12	-75.32	1.05	4440.43
0.21	-75.37	-75.36	1.00	-57688.05
0.21	-75.23	-75.20	0.99	-33581.54
0.22	-75.23	-75.17	0.99	-16848.49
0.22	-74.64	-75.45	1.21	989.80
0.22	-75.14	-75.28	1.03	6643.08
0.23	-74.94	-75.62	1.17	1209.66
0.23	-75.38	-75.16	0.95	-4639.97
0.23	-75.02	-75.10	1.02	11249.79
0.24	-74.68	-75.04	1.08	2516.88
0.24	-74.94	-74.99	1.01	20113.85
0.25	-75.12	-75.12	1.00	-2770502.58
0.25	-75.07	-75.06	1.00	-122886.63
0.25	-74.67	-75.07	1.10	2146.33
0.26	-74.74	-74.84	1.02	8751.02
0.26	-74.87	-75.33	1.11	1898.21
0.26	-75.03	-74.43	0.87	-1779.92
0.27	-74.87	-74.97	1.02	9004.68
0.27	-75.34	-75.39	1.01	17008.66
0.28	-75.09	-75.43	1.08	2677.30
0.28	-75.00	-75.60	1.15	1413.59
0.28	-75.50	-75.34	0.96	-6210.41
0.29	-75.41	-75.77	1.08	2507.26
0.29	-75.43	-75.62	1.05	4786.31
0.29	-75.93	-75.68	0.94	-4037.07
0.30	-75.92	-75.32	0.87	-1776.09
0.30	-75.68	-75.95	1.07	3291.81
0.30	-75.82	-75.94	1.03	8336.78
0.31	-75.79	-76.01	1.05	3999.47
0.31	-75.74	-75.77	1.01	35472.43
0.32	-75.74	-75.71	0.99	-28937.38
0.32	-76.06	-75.98	0.98	-11446.18
0.32	-75.35	-75.42	1.02	12512.52
0.33	-75.70	-76.02	1.08	2795.43
0.33	-75.91	-75.60	0.93	-3247.25
0.33	-75.58	-75.50	0.98	-13544.05
0.34	-75.68	-75.55	0.97	-7238.95
0.34	-75.32	-75.96	1.16	1313.77
0.34	-75.51	-75.74	1.05	3908.37
0.35	-75.75	-75.41	0.93	-3000.28
0.35	-75.51	-75.67	1.04	5594.20
0.36	-75.59	-75.21	0.92	-2663.36
0.36	-75.33	-75.37	1.01	21240.85
0.36	-75.13	-75.68	1.13	1550.51
0.37	-75.21	-75.01	0.96	-5039.92
0.37	-74.66	-75.36	1.18	1168.27
0.37	-75.26	-75.21	0.99	-17575.94
0.38	-75.08	-75.11	1.01	36871.63
0.38	-74.68	-74.97	1.07	3051.48
0.39	-74.60	-74.96	1.09	2447.82
0.39	-75.00	-74.76	0.95	-4177.11
0.39	-74.61	-74.76	1.04	5971.57
0.40	-74.60	-74.91	1.07	2911.86
0.40	-75.13	-75.11	1.00	-67173.80
0.40	-74.97	-75.28	1.08	2831.84
0.41	-75.47	-75.62	1.04	6000.60
0.41	-75.20	-75.54	1.08	2635.10
0.41	-75.60	-76.05	1.11	1925.11
0.42	-75.79	-75.78	1.00	-64778.91
0.42	-75.98	-75.91	0.98	-14135.90
0.43	-75.64	-75.89	1.06	3572.08
0.43	-76.06	-76.02	0.99	-24664.03
0.43	-76.06	-75.85	0.95	-4689.65
0.44	-75.99	-75.92	0.98	-13339.71
0.44	-75.98	-76.35	1.09	2380.57
0.44	-76.28	-76.00	0.94	-3596.94
0.45	-76.12	-76.28	1.04	5581.63
0.45	-76.25	-76.62	1.09	2395.37
0.45	-76.37	-76.32	0.99	-18404.35
0.46	-76.26	-76.24	1.00	-66250.79
0.46	-76.45	-76.25	0.95	-4856.57
0.47	-76.29	-75.75	0.88	-1946.28
0.47	-75.88	-76.03	1.04	5917.02
0.47	-76.13	-75.89	0.95	-4140.68
0.48	-76.08	-75.77	0.93	-3285.47
0.48	-76.10	-75.72	0.92	-2695.30
0.48	-76.04	-76.21	1.04	5343.75
0.49	-75.77	-75.65	0.97	-8353.06
0.49	-75.62	-75.75	1.03	7077.54
0.49	-75.15	-75.91	1.19	1065.79
0.50	-75.22	-75.68	1.11	1910.13
0.50	-75.25	-75.40	1.04	5855.80
0.51	-74.89	-75.03	1.03	6662.21
0.51	-74.97	-75.16	1.04	4845.30
0.51	-74.50	-75.03	1.13	1610.86
0.52	-74.35	-74.76	1.10	2139.03
0.52	-74.88	-75.04	1.04	5772.65
0.52	-74.68	-74.79	1.03	8297.35
0.53	-74.74	-74.74	1.00	585083.63
0.53	-75.02	-75.44	1.10	2079.69
0.54	-74.91	-75.21	1.07	3009.93
0.54	-75.51	-75.73	1.05	4300.62
0.54	-75.46	-75.35	0.97	-8368.06
0.55	-75.62	-75.72	1.02	9387.19
0.55	-75.45	-75.83	1.09	2330.24
0.55	-75.64	-76.26	1.15	1352.86
0.56	-75.84	-76.23	1.09	2268.98
0.56	-76.18	-76.06	0.97	-8064.62
0.56	-75.67	-75.99	1.08	2806.51
0.57	-75.87	-75.66	0.95	-4689.82
0.57	-75.36	-76.32	1.25	810.08
0.58	-75.76	-76.35	1.15	1430.01
0.58	-76.25	-76.13	0.97	-8123.29
0.58	-76.14	-76.16	1.00	74283.80
0.59	-75.78	-75.83	1.01	17839.06
0.59	-75.51	-75.88	1.09	2417.28
0.59	-76.07	-75.82	0.95	-4099.75
0.60	-75.67	-76.06	1.09	2249.40
0.60	-75.88	-76.11	1.06	3875.04
0.60	-75.96	-76.09	1.03	7163.17
0.61	-75.81	-75.85	1.01	21520.67
0.61	-75.73	-76.11	1.09	2333.64
0.62	-75.67	-75.57	0.98	-9855.98
0.62	-75.52	-75.61	1.02	10038.89
0.62	-75.15	-75.67	1.13	1670.49
0.63	-75.22	-75.07	0.97	-6457.92
0.63	-74.62	-75.15	1.13	1608.26
0.63	-74.75	-74.79	1.01	28037.15
0.64	-74.36	-74.75	1.09	2243.05
0.64	-74.14	-74.40	1.06	3544.32
0.65	-73.84	-74.28	1.11	1994.91
0.65	-74.20	-74.34	1.03	6754.85
0.65	-74.08	-74.22	1.03	7088.56
0.66	-74.22	-74.29	1.02	12954.23
0.66	-74.40	-74.12	0.94	-3559.79
0.66	-74.22	-74.16	0.99	-16976.40
0.67	-74.65	-74.63	1.00	-51785.59
0.67	-74.61	-75.08	1.11	1857.08
0.67	-75.07	-75.15	1.02	12417.52
0.68	-75.20	-75.19	1.00	-127523.79
0.68	-75.34	-75.57	1.05	4002.56
0.69	-75.39	-75.81	1.10	2079.69
0.69	-75.19	-75.77	1.14	1461.04
0.69	-75.35	-75.87	1.13	1663.57
0.70	-75.51	-75.70	1.04	4828.10
0.70	-75.78	-75.71	0.98	-14461.74
0.70	-75.84	-75.87	1.01	34851.06
0.71	-75.48	-75.87	1.09	2241.12
0.71	-75.59	-75.60	1.00	97819.22
0.71	-75.61	-75.59	0.99	-40661.66
0.72	-75.45	-76.03	1.14	1450.38
0.72	-75.68	-76.09	1.10	2128.99
0.73	-75.33	-75.55	1.05	4235.71
0.73	-75.63	-75.36	0.94	-3760.35
0.73	-75.45	-75.22	0.95	-4362.66
0.74	-75.23	-75.43	1.05	4477.98
0.74	-75.26	-75.36	1.02	9419.65
0.74	-75.06	-75.57	1.12	1692.18
0.75	-74.93	-75.01	1.02	11347.13
0.75	-74.30	-75.08	1.20	1031.89
0.76	-74.31	-74.94	1.16	1330.22
0.76	-74.40	-74.65	1.06	3745.37
0.76	-73.79	-74.24	1.11	1922.97
0.77	-73.26	-74.04	1.20	1026.51
0.77	-73.48	-74.07	1.14	1445.69
0.77	-73.14	-73.82	1.17	1208.96
0.78	-73.54	-73.74	1.05	4403.99
0.78	-73.52	-73.50	0.99	-38639.17
0.78	-73.45	-73.72	1.07	3268.70
0.79	-73.18	-74.19	1.26	760.44
0.79	-73.20	-73.85	1.16	1282.64
0.80	-73.38	-73.73	1.09	2492.29
0.80	-73.78	-74.11	1.08	2719.09
0.80	-74.03	-74.51	1.12	1802.87
0.81	-74.16	-74.67	1.12	1697.93
0.81	-74.78	-74.70	0.98	-12119.76
0.81	-74.37	-74.82	1.11	1927.72
0.82	-74.70	-74.74	1.01	23833.55
0.82	-74.92	-75.26	1.08	2605.07
0.82	-74.97	-75.30	1.08	2643.54
0.83	-74.61	-74.94	1.08	2714.49
0.83	-74.80	-75.37	1.14	1504.34
0.84	-75.18	-75.40	1.05	4114.35
0.84	-75.30	-75.66	1.09	2470.35
0.84	-75.19	-75.41	1.05	4189.79
0.85	-75.02	-75.26	1.06	3788.60
0.85	-75.06	-75.46	1.10	2192.16
0.85	-74.91	-75.27	1.09	2412.41
0.86	-75.08	-75.27	1.04	4798.24
0.86	-75.13	-74.96	0.96	-5989.80
0.87	-74.88	-74.79	0.98	-10474.33
0.87	-74.86	-75.11	1.06	3692.68
0.87	-74.77	-74.96	1.05	4757.14
0.88	-74.52	-74.81	1.07	3052.24
0.88	-74.32	-74.83	1.12	1702.17
0.88	-74.26	-74.39	1.03	7187.07
0.89	-73.55	-74.22	1.17	1246.61
0.89	-73.59	-74.00	1.10	2152.70
0.89	-73.12	-73.74	1.15	1356.93
0.90	-72.57	-74.13	1.43	427.88
0.90	-72.93	-73.48	1.13	1550.51
0.91	-72.52	-73.47	1.24	819.84
0.91	-72.68	-73.42	1.19	1103.73
0.91	-72.69	-73.52	1.21	962.72
0.92	-72.61	-73.30	1.17	1194.85
0.92	-73.27	-73.49	1.05	4191.63
0.92	-73.25	-73.88	1.16	1318.76
0.93	-73.43	-73.47	1.01	21426.59
0.93	-73.37	-73.82	1.11	1902.14
0.94	-73.35	-74.05	1.18	1166.37
0.94	-73.23	-74.33	1.29	680.20
0.94	-74.14	-74.73	1.15	1416.32
0.95	-74.25	-74.63	1.09	2296.12
0.95	-74.03	-74.50	1.11	1842.78
0.95	-74.52	-74.92	1.10	2186.25
0.96	-74.71	-74.95	1.06	3665.02
0.96	-74.74	-75.22	1.12	1790.61
0.96	-74.69	-74.90	1.05	4330.35
0.97	-74.59	-75.23	1.16	1290.40
0.97	-74.36	-75.31	1.24	828.31
0.98	-74.39	-74.99	1.15	1405.03
0.98	-74.79	-75.27	1.11	1831.94
0.98	-74.79	-75.16	1.09	2328.61
0.99	-74.69	-74.81	1.03	7769.03
0.99	-74.41	-74.58	1.04	5347.43
0.99	-74.45	-74.86	1.10	2142.72
1.00	-74.12	-74.47	1.08	2554.87
1.00	-73.90	-74.41	1.12	1707.89
1.00	-73.85	-74.46	1.15	1380.70
1.01	-73.51	-74.35	1.21	952.67
1.01	-73.69	-74.20	1.12	1681.63
1.02	-73.09	-74.02	1.24	836.35
1.02	-73.41	-73.45	1.01	25704.25
1.02	-72.69	-73.38	1.17	1207.04
1.03	-72.85	-73.41	1.14	1508.44
1.03	-72.15	-73.37	1.32	602.05
1.03	-72.32	-73.09	1.19	1047.74
1.04	-71.96	-72.93	1.25	796.21
1.04	-71.82	-72.71	1.23	890.13
1.04	-71.89	-72.41	1.13	1630.75
1.05	-71.88	-72.47	1.15	1406.57
1.05	-72.10	-72.91	1.21	991.10
1.06	-72.18	-73.03	1.22	933.81
1.06	-72.85	-73.14	1.07	3062.27
1.06	-72.67	-73.47	1.20	1000.14
1.07	-73.06	-73.85	1.20	1033.43
1.07	-73.15	-73.59	1.10	2018.23
1.07	-73.58	-74.19	1.15	1377.86
1.08	-73.55	-74.21	1.16	1262.04
1.08	-73.39	-74.24	1.22	940.86
1.09	-73.25	-74.71	1.40	472.79
1.09	-73.73	-74.69	1.25	806.58
1.09	-73.86	-74.83	1.25	795.79
1.10	-73.89	-74.60	1.18	1162.22
1.10	-74.14	-74.72	1.14	1466.28
1.10	-74.24	-75.06	1.21	983.80
1.11	-74.06	-74.73	1.17	1247.49
1.11	-74.02	-74.82	1.20	996.96
1.11	-74.11	-74.62	1.12	1705.57
1.12	-74.20	-74.64	1.11	1996.59
1.12	-73.56	-74.52	1.25	809.88
1.13	-73.54	-74.20	1.17	1245.08
1.13	-73.44	-74.19	1.19	1083.57
1.13	-73.14	-74.18	1.27	728.53
1.14	-73.21	-74.24	1.27	747.93
1.14	-73.07	-73.73	1.17	1247.66
1.14	-72.91	-73.49	1.14	1469.98
1.15	-72.24	-73.13	1.23	881.39
1.15	-72.41	-73.27	1.22	927.18
1.16	-71.87	-72.78	1.23	856.51
1.16	-71.48	-72.73	1.33	582.13
1.16	-71.72	-72.48	1.19	1071.02
1.17	-71.49	-72.62	1.30	658.15
1.17	-71.05	-71.87	1.21	974.54
1.17	-71.55	-72.21	1.16	1260.53
1.18	-71.36	-72.43	1.28	703.75
1.18	-71.37	-72.18	1.20	997.16
1.18	-71.50	-72.63	1.30	659.64
1.19	-71.45	-72.43	1.25	786.49
1.19	-71.50	-72.62	1.29	671.74
1.20	-72.12	-73.15	1.27	742.53
1.20	-72.13	-73.13	1.26	769.85
1.20	-72.42	-73.41	1.26	779.39
1.21	-72.31	-73.74	1.39	487.71
1.21	-72.80	-73.69	1.23	887.93
1.21	-73.16	-74.01	1.22	934.18
1.22	-73.12	-74.35	1.33	593.99
1.22	-73.25	-74.47	1.32	602.84
1.22	-73.56	-74.26	1.17	1177.76
1.23	-73.56	-74.40	1.21	949.60
1.23	-73.44	-74.44	1.26	767.39
1.24	-73.66	-74.23	1.14	1489.20
1.24	-73.36	-74.20	1.21	942.74
1.24	-73.42	-74.21	1.20	1015.31
1.25	-73.16	-74.09	1.24	833.03
1.25	-73.28	-74.14	1.22	925.90
1.25	-73.38	-73.82	1.11	1977.91
1.26	-73.02	-73.81	1.20	1020.40
1.26	-72.86	-73.54	1.17	1227.55
1.26	-72.75	-73.50	1.19	1078.16
1.27	-72.44	-73.62	1.31	624.95
1.27	-72.60	-73.46	1.22	924.92
1.28	-72.13	-72.81	1.17	1222.04
1.28	-71.66	-72.77	1.29	671.27
1.28	-71.48	-72.57	1.29	689.17
1.29	-71.49	-72.54	1.28	718.87
1.29	-71.29	-72.14	1.22	934.45
1.29	-70.89	-72.22	1.36	533.02
1.30	-70.62	-71.63	1.26	766.38
1.30	-71.07	-71.66	1.14	1436.59
1.31	-71.12	-72.32	1.32	611.43
1.31	-70.83	-72.00	1.31	632.72
1.31	-71.32	-72.18	1.22	924.40
1.32	-71.14	-72.29	1.30	642.31
1.32	-71.27	-72.40	1.30	657.23
1.32	-71.67	-72.51	1.21	947.87
1.33	-71.83	-72.77	1.24	829.17
1.33	-72.05	-73.08	1.27	744.32
1.33	-72.06	-73.34	1.34	564.24
1.34	-72.10	-73.25	1.30	642.33
1.34	-72.37	-73.60	1.33	591.27
1.35	-72.51	-73.63	1.29	667.03
1.35	-72.74	-73.99	1.33	580.66
1.35	-72.94	-74.09	1.30	642.45
1.36	-73.05	-73.87	1.21	976.98
1.36	-73.30	-74.28	1.25	789.49
1.36	-73.17	-73.82	1.16	1278.40
1.37	-73.18	-74.11	1.24	837.92
1.37	-73.48	-74.09	1.15	1371.95
1.38	-73.43	-74.09	1.16	1265.37
1.38	-73.21	-74.00	1.20	1028.88
1.38	-73.17	-74.05	1.23	891.98
1.39	-73.26	-73.92	1.16	1251.08
1.39	-73.00	-73.74	1.19	1095.26
1.39	-72.77	-73.77	1.26	763.94
1.40	-72.83	-73.42	1.15	1432.60
1.40	-72.57	-73.59	1.27	748.34
1.40	-72.22	-73.37	1.30	644.79
1.41	-72.21	-73.02	1.20	992.22
1.41	-72.19	-72.84	1.16	1282.14
1.42	-71.57	-72.45	1.22	901.02
1.42	-71.56	-72.29	1.18	1115.75
1.42	-71.37	-72.29	1.24	842.18
1.43	-70.97	-72.12	1.30	642.62
1.43	-71.19	-72.21	1.26	750.13
1.43	-70.87	-71.70	1.21	957.65
1.44	-71.19	-72.03	1.21	945.32
1.44	-71.40	-72.31	1.23	864.58
1.44	-71.63	-72.13	1.12	1738.27
